CC1009	128	7639631
CC1010	121	6856019
CC1373	168	10395631
CC1952	116	5952000
CC2342	148	7348000
CC2343	136	6928000
CC2344	271	15855707
CC2931	44	2339668
CC2932	86	5195763
CC2935	265	22709399
CC2936	146	11715163
CC2937	266	18719448
CC2938	143	8783650
CC3059	183	13653900
CC3060	187	11733817
CC3061	188	14607327
CC3062	200	15625821
CC3063	204	18761604
CC3065	209	18654568
CC3068	206	15536608
CC3069	221	16869967
CC3071	197	15406084
CC3073	211	18095885
CC3076	140	8332000
CC3079	180	18760775
CC3084	105	5769585
CC3086	116	8507650
CC3268	61	3092019
GB117	133	7129262
GB119	230	19256019
GB123	132	7280000
GB13	144	11373742
GB138	141	9289585
GB141	230	23341851
GB66	185	17507909
